gender,workActivity,occupationIndustry,totalIncome,relationshipStatus,habitationStatus,schoolAttendance,schools,age,cust_id_new,em_elig,dm_elig,lang
Male,fulltime,4461 Health and personal care stores,85745.1,Divorced,,,,66,115555,N,N,E
Male,fulltime,4481 Clothing stores,145807,Single,,,,39,115556,Y,Y,E
Male,parttime,5241 Insurance carriers,412743.28,Single,,College,,26,115557,Y,Y,F
Male,parttime,"5416 Management, scientific and technical consulting services",427918.55,Married,With Spouse,,,55,115558,Y,Y,E
Male,parttime,5411 Legal services,410026.39,Single,With Parent,Apprenticeship,,28,115559,N,Y,E
Female,fulltime,Retired,88286.1,Widowed,,,,48,115560,Y,N,F
Female,fulltime,2361 Residential building construction,40508,Married,With Spouse,,,37,115561,Y,Y,E
Male,fulltime,6244 Child day-care services,54407.65,Married,With Spouse,,,57,115562,Y,Y,E
Male,fulltime,4529 Other general merchandise stores,429986.77,Single,,Apprenticeship,,27,115563,N,Y,F
Female,fulltime,3364 Aerospace product and parts manufacturing,116815.6,Divorced,,,,50,115564,Y,Y,E
Male,fulltime,,400000,Single,With Parent,Secondary,1,28,115565,Y,N,E
Male,parttime,9112-9119 Other federal services,420253.2,Married,With Spouse,,,50,115566,Y,Y,F
Female,fulltime,7222 Limited-service restaurants,48900.3,Married,With Spouse,,,74,115567,N,Y,E
Female,fulltime,5312 Offices of real estate agents and brokers,110283,Divorced,,,,43,115568,Y,Y,E
Female,fulltime,Retired,417035.9,Widowed,Group,,,52,115569,Y,Y,F
Female,fulltime,4173 Computer and communications equipment and supplies wholesaler-d,424063,Separate,With Parent,,,36,115570,Y,N,E
Female,fulltime,Retired,55767.6,Widowed,,,,45,115571,N,Y,E
Male,fulltime,,400000,Married,With Spouse,,,45,115572,Y,Y,F
Male,parttime,6216 Home health care services,412648.57,Single,With Parent,Apprenticeship,,29,115573,Y,Y,E
Female,fulltime,"5413 Architectural, engineering and related services",56636,Divorced,,,,36,115574,Y,Y,E
Male,fulltime,,400000,Single,With Parent,Elementary,1,29,115575,N,N,F
Female,fulltime,3361 Motor vehicle manufacturing,39553.25,Divorced,With Spouse,,,64,115576,Y,Y,E
Female,fulltime,3372 Office furniture (including fixtures) manufacturing,37226.7,Single,With Parent,,,69,115577,Y,Y,E
Male,fulltime,Retired,433830.3,Married,With Spouse,,,43,115578,Y,Y,F
Female,parttime,3323 Architectural and structural manufacturing,419907.65,Widowed,Group,,,62,115579,N,Y,E
Male,parttime,2361 Residential building construction,411649,Single,With Parent,Apprenticeship,,28,115580,Y,N,E
Male,fulltime,4431 Electronics and appliances stores,428548,Single,With Parent,,,42,115581,Y,Y,F
Other,parttime,5171 Wired telecommunications carriers,418696,Single,With Parent,,,35,115582,Y,Y,E
Male,fulltime,5321 Automotive equipment rental and leasing,40134.6,Married,With Spouse,,,47,115583,N,Y,E
Male,fulltime,Retired,414881.3,Married,With Spouse,,,43,115584,Y,Y,F
Male,fulltime,Retired,411959.5,Married,,,,77,115585,Y,N,E
Male,parttime,"9130 Local, municipal and regional public administration (9131 and 9",417010.7,Married,With Spouse,,,71,115586,Y,Y,E
Female,fulltime,2123 Non-metallic mineral mining and quarrying,433531,Single,With Parent,,,39,115587,N,Y,F
Male,parttime,3332 Industrial machinery manufacturing,427600,Married,With Spouse,,,61,115588,Y,Y,E
Female,parttime,9120 Provincial and territorial public administration (9121 to 9129),433232.7,Married,With Spouse,,,54,115589,Y,Y,E
Female,fulltime,4461 Health and personal care stores,56525,Widowed,,,,72,115590,Y,N,F
Other,parttime,9120 Provincial and territorial public administration (9121 to 9129),427815.7,Divorced,With Spouse,,,53,115591,N,Y,E
Other,fulltime,9112-9119 Other federal services,82208,Married,With Spouse,,,38,115592,Y,Y,E
Male,parttime,9112-9119 Other federal services,408936.73,Single,With Parent,College,,33,115593,Y,Y,F
Male,fulltime,Retired,423267.3,Married,With Spouse,,,56,115594,Y,Y,E
Female,fulltime,6220 Hospitals (6221 to 6223),75716,Married,With Spouse,,,59,115595,N,N,E
Female,parttime,4451 Grocery stores,417259,Married,With Spouse,Apprenticeship,,34,115596,Y,Y,F
Female,parttime,8131 Religious organizations,410493.67,Married,With Spouse,Apprenticeship,,33,115597,Y,Y,E
Female,fulltime,5151 Radio and television broadcasting,60084,Married,With Spouse,,,41,115598,Y,Y,E
Male,fulltime,,400000,Married,With Spouse,,,64,115599,N,Y,F
Female,parttime,7139 Other amusement and recreation industries,428651.7,Married,With Spouse,,,51,115600,Y,N,E
Female,fulltime,4851 Urban transit systems,36955.25,Married,With Spouse,,,55,115601,Y,Y,E
Male,parttime,6111 Elementary and secondary schools,411579.37,Single,With Parent,Apprenticeship,,33,115602,Y,Y,F
Other,fulltime,5221 Depository credit intermediation,38770.6,Married,With Spouse,,,45,115603,N,Y,E
Other,fulltime,Retired,422366.4,Married,With Spouse,,,40,115604,Y,Y,E
Female,fulltime,5616 Investigation and security services,43766,Married,With Spouse,,,35,115605,Y,N,F
Female,fulltime,6211 Offices of physicians,48121,Married,With Spouse,,,37,115606,Y,Y,E
Female,parttime,6113 Universities,405542.68,Single,With Parent,College,,34,115607,N,Y,E
Other,fulltime,,400000,Married,With Spouse,,,47,115608,Y,Y,F
Male,fulltime,8111 Automotive repair and maintenance,43091.4,Married,With Spouse,,,52,115609,Y,Y,E
Female,parttime,5121 Motion picture and video industries,403193.41,Single,With Parent,College,,33,115610,Y,N,E
Female,parttime,"5412 Accounting, tax preparation, bookkeeping and payroll services",429089.95,Married,With Spouse,,,66,115611,N,Y,F
Male,parttime,5312 Offices of real estate agents and brokers,405916.57,Single,With Parent,Apprenticeship,,32,115612,Y,Y,E
Male,parttime,4421 Furniture stores,412312.63,Single,With Parent,Apprenticeship,,26,115613,Y,Y,E
Female,fulltime,6113 Universities,39687.2,Married,With Spouse,,,69,115614,Y,Y,F
Male,fulltime,6111 Elementary and secondary schools,102335.9,Divorced,,,,73,115615,N,N,E
Female,fulltime,Retired,87983.7,Widowed,,,,52,115616,Y,Y,E
Female,parttime,5411 Legal services,430775.15,Married,With Spouse,,,55,115617,Y,Y,F
Male,fulltime,Retired,54452.3,Separate,,,,41,115618,Y,Y,E
Male,fulltime,3121 Beverage manufacturing,54882.6,Divorced,With Parent,,,60,115619,N,Y,E
Male,parttime,"5242 Agencies, brokerages and other insurance related activities",405450.61,Single,With Parent,College,,34,115620,Y,N,F
Male,fulltime,4431 Electronics and appliances stores,428560,Married,With Spouse,,,42,115621,Y,Y,E
Male,fulltime,,400000,Single,With Parent,Secondary,1,29,115622,Y,Y,E
Female,fulltime,6220 Hospitals (6221 to 6223),59217.4,Single,,,,49,115623,N,Y,F
Male,parttime,7211 Traveller accommodations,414336.45,Married,With Spouse,,,71,115624,Y,Y,E
Female,parttime,2361 Residential building construction,413822.71,Single,With Spouse,Apprenticeship,,29,115625,Y,N,E
Male,fulltime,"5111 Newspaper, periodical, book and director publishers",62284,Single,,,,59,115626,Y,Y,F
Female,fulltime,,400000,Single,With Parent,Secondary,1,31,115627,N,Y,E
Female,fulltime,6220 Hospitals (6221 to 6223),77276.55,Single,,,,63,115628,Y,Y,E
Male,fulltime,5322 Consumer goods rental,38210.7,Married,With Spouse,,,50,115629,Y,Y,F
Female,fulltime,,400000,Single,With Parent,College,,25,115630,Y,N,E
Female,parttime,6111 Elementary and secondary schools,419566.03,Married,With Spouse,Apprenticeship,,29,115631,N,Y,E
Female,fulltime,,400000,Single,With Parent,Secondary,1,27,115632,Y,Y,F
Male,fulltime,3272 Glass and glass product manufacturing,430813,Married,With Spouse,,,36,115633,Y,Y,E
Other,fulltime,Retired,420818.7,Married,With Spouse,,,39,115634,Y,Y,E
Female,fulltime,"4511 Sporting goods, hobby and musical instrument stores",45625.14,Single,Group,Apprenticeship,,33,115635,N,N,F
Male,fulltime,3119 Other food manufacturing,44295.9,Divorced,,Apprenticeship,,31,115636,Y,Y,E
Male,parttime,6220 Hospitals (6221 to 6223),404216.41,Single,With Parent,Apprenticeship,,27,115637,Y,Y,E
Female,fulltime,9112-9119 Other federal services,42944,Married,With Spouse,,,40,115638,Y,Y,F
Male,parttime,4142 Home entertainment equipment and household appliance wholesaler,412001.4,Married,With Spouse,,,57,115639,N,Y,E
Male,parttime,"7115 Independent artists, writers and performers",409410.28,Single,With Parent,Apprenticeship,,33,115640,Y,N,E
Female,parttime,"5111 Newspaper, periodical, book and director publishers",433060.95,Married,With Spouse,,,65,115641,Y,Y,F
Male,fulltime,9120 Provincial and territorial public administration (9121 to 9129),39959,Married,With Spouse,,,36,115642,Y,Y,E
Male,fulltime,5415 Computer systems design and related services,40011.95,Married,With Spouse,,,61,115643,N,Y,E
Male,fulltime,Retired,61873,Widowed,,,,53,115644,Y,Y,F
Female,parttime,5616 Investigation and security services,432565.05,Single,Group,,,66,115645,Y,N,E
Male,fulltime,,400000,Single,Group,,,36,120001,Y,Y,E
Female,fulltime,5221 Depository credit intermediation,40009.2,Married,With Spouse,,,44,120002,N,Y,F
Female,fulltime,,400000,Single,With Parent,Secondary,1,28,120003,Y,Y,E
Other,fulltime,"5412 Accounting, tax preparation, bookkeeping and payroll services",44709,Married,With Spouse,,,38,120004,Y,Y,E
Male,fulltime,4855 Charter bus industry,421496,Single,With Parent,,,38,120005,Y,N,F
Female,parttime,"5111 Newspaper, periodical, book and director publishers",412545.28,Married,With Spouse,Apprenticeship,,26,120006,N,Y,E
Male,parttime,3254 Pharmaceutical and medicine manufacturing,411898.75,Married,With Spouse,,,71,120007,Y,Y,E
Male,fulltime,8111 Automotive repair and maintenance,136281.2,Single,,,,47,120008,Y,Y,F
Male,fulltime,"5419 Other professional, scientific and technical services",423638.89,Single,With Spouse,Apprenticeship,,28,120009,Y,Y,E
Female,fulltime,8121 Personal care services,81848.95,Married,With Spouse,,,58,120010,N,N,E
Other,fulltime,6113 Universities,35696,Divorced,With Parent,,,38,120011,Y,Y,F
Male,fulltime,8133 Social advocacy organizations,109851.35,Divorced,,,,71,120012,Y,Y,E
Female,parttime,7132 Gambling industries,422797.6,Married,With Spouse,,,58,120013,Y,Y,E
Female,fulltime,Retired,57978.9,Single,,,,46,120014,N,Y,F
Male,fulltime,Retired,413271.3,Married,With Spouse,,,78,120015,Y,N,E
Female,fulltime,"5111 Newspaper, periodical, book and director publishers",85149.45,Widowed,,,,67,120016,Y,Y,E
Male,fulltime,4533 Used merchandise stores,108181.25,Divorced,,,,64,120017,Y,Y,F
Female,fulltime,Retired,427456.1,Widowed,Group,,,41,120018,N,Y,E
Female,parttime,4481 Clothing stores,406095.1,Single,With Parent,College,,26,120019,Y,Y,E
Female,fulltime,6111 Elementary and secondary schools,431453,Married,With Spouse,,,43,120020,Y,N,F
Male,parttime,"5412 Accounting, tax preparation, bookkeeping and payroll services",415948.57,Single,With Parent,Apprenticeship,,29,120021,Y,Y,E
Male,fulltime,,400000,Married,With Spouse,,,55,120022,N,Y,E
Male,parttime,6230 Nursing and residential care facilities (6231 to 6239),419541,Married,With Spouse,,,42,120023,Y,Y,F
Female,parttime,9120 Provincial and territorial public administration (9121 to 9129),409684.84,Single,With Parent,Apprenticeship,,30,120024,Y,Y,E
Female,parttime,"4511 Sporting goods, hobby and musical instrument stores",426302.1,Separate,With Parent,,,53,120025,Y,N,E
Male,fulltime,"5418 Advertising, public relations, and related services",94400,Single,,,,38,120026,N,Y,F
Male,fulltime,,400000,Married,With Spouse,,,43,120027,Y,Y,E
Female,parttime,6113 Universities,403928.98,Single,With Parent,Apprenticeship,,31,120028,Y,Y,E
Female,fulltime,Retired,53596.2,Widowed,,,,57,120029,Y,Y,F
Female,fulltime,Retired,49325.5,Widowed,,,,47,120030,N,N,E
Female,fulltime,Retired,431535.7,Single,,,,41,120031,Y,Y,E
Female,parttime,5411 Legal services,410246.5,Married,With Spouse,,,47,120032,Y,Y,F
Other,fulltime,Retired,412556.6,Married,With Spouse,,,75,120033,Y,Y,E
Male,parttime,"5419 Other professional, scientific and technical services",404521.66,Single,With Parent,Apprenticeship,,28,120034,N,Y,E
Male,fulltime,3364 Aerospace product and parts manufacturing,119147,Separate,Group,,,38,120035,Y,N,F
Male,fulltime,,400000,Single,With Parent,,,40,120036,Y,Y,E
Female,fulltime,6111 Elementary and secondary schools,78233,Single,,,,39,120037,Y,Y,E
Other,fulltime,5221 Depository credit intermediation,46192.05,Divorced,With Spouse,,,58,120038,N,Y,F
Male,fulltime,5221 Depository credit intermediation,70577.4,Single,,,,66,120039,Y,Y,E
Male,fulltime,Retired,62988.8,Widowed,,,,39,120040,Y,N,E
Other,parttime,"9130 Local, municipal and regional public administration (9131 and 9",406066.72,Single,With Parent,Apprenticeship,,27,120041,Y,Y,F
Male,parttime,7222 Limited-service restaurants,417253,Single,With Parent,,,37,120042,N,Y,E
Other,parttime,4543 Direct selling establishments,430164.5,Married,With Spouse,,,61,120043,Y,Y,E
Female,fulltime,Retired,432016.6,Widowed,Group,,,55,120044,Y,Y,F
Female,fulltime,5241 Insurance carriers,420971.83,Single,With Parent,College,,33,120045,Y,N,E
Female,fulltime,3353 Electrical equipment manufacturing,47944.6,Single,Group,,,51,120046,N,Y,E
Female,parttime,6113 Universities,409329.43,Single,With Parent,College,,34,120047,Y,Y,F
Male,parttime,7223 Special food services,416506.6,Married,With Spouse,,,50,120048,Y,Y,E
Female,fulltime,4821 Rail transportation,42802,Separate,With Parent,,,36,120049,Y,Y,E
Female,fulltime,6244 Child day-care services,126598.9,Single,,,,60,120050,N,N,F
Female,parttime,7139 Other amusement and recreation industries,413345.86,Single,With Parent,Apprenticeship,,26,120051,Y,Y,E
Female,parttime,2122 Metal ore mining,427631.7,Married,With Spouse,,,69,120052,Y,Y,E
Male,fulltime,6111 Elementary and secondary schools,44012,Married,With Spouse,,,35,120053,Y,Y,F
Male,parttime,"3252 Resin, synthetic rubber, and artificial and synthetic fibres an",418581,Married,,,,41,120054,N,Y,E
Other,fulltime,3261 Plastic product manufacturing,231327.8,Single,,,,48,120055,Y,N,E
Other,fulltime,Retired,54497.8,Married,With Spouse,,,77,120056,Y,Y,F
Other,fulltime,5617 Services to buildings and dwellings,424544,Single,With Parent,,,39,120057,Y,Y,E
Male,parttime,"5418 Advertising, public relations, and related services",419411,Married,With Spouse,,,39,120058,N,Y,E
Male,parttime,3399 Other miscellaneous manufacturing,406743.88,Single,With Parent,College,,25,120059,Y,Y,F
Female,parttime,6244 Child day-care services,431692.95,Married,With Spouse,,,70,120060,Y,N,E
Female,fulltime,6230 Nursing and residential care facilities (6231 to 6239),81900.5,Divorced,Group,,,51,120061,Y,Y,E
Male,fulltime,"5416 Management, scientific and technical consulting services",35941.4,Married,With Spouse,,,43,120062,N,Y,F
Other,fulltime,,400000,Single,With Parent,Secondary,1,32,120063,Y,Y,E
Male,parttime,"5418 Advertising, public relations, and related services",410273.89,Single,With Parent,Apprenticeship,,32,120064,Y,Y,E
Female,parttime,6113 Universities,421196.8,Married,With Spouse,,,63,120065,Y,N,F
Male,fulltime,Retired,416604,Married,,,,75,120066,N,Y,E
Male,parttime,5172 Wireless telecommunications carriers (except satellite),420267.3,Married,With Spouse,,,71,120067,Y,Y,E
Female,parttime,8113 Commercial and industrial machinery and equipment (except autom,413858.02,Single,With Parent,Apprenticeship,,29,120068,Y,Y,F
Female,fulltime,8114 Personal and household goods repair and maintenance,52704.5,Divorced,,,,58,120069,Y,Y,E
Other,parttime,5221 Depository credit intermediation,425999.6,Married,With Spouse,,,68,120070,N,N,E
Female,fulltime,8134 Civic and social organizations,35472.05,Married,With Spouse,,,72,120071,Y,Y,F
Male,fulltime,8111 Automotive repair and maintenance,422991.76,Single,,College,,34,120072,Y,Y,E
Female,fulltime,,400000,Single,,,,40,120073,Y,Y,E
Male,parttime,3344 Semiconductor and other electronic component manufacturing,419559.1,Single,Group,Apprenticeship,,34,120074,N,Y,F
Male,fulltime,5221 Depository credit intermediation,65475,Single,,,,42,120075,Y,N,E
Female,parttime,"5416 Management, scientific and technical consulting services",429565.8,Married,With Spouse,,,45,120076,Y,Y,E
Male,fulltime,5411 Legal services,39615.2,Married,With Spouse,,,62,120077,Y,Y,F
Female,fulltime,Retired,424842.3,Married,With Spouse,,,45,120078,N,Y,E
Male,parttime,4151 Motor vehicle wholesaler-distributors,418465.81,Single,,Apprenticeship,,29,120079,Y,Y,E
Female,fulltime,,400000,Single,With Spouse,College,,25,120080,Y,N,F
Female,fulltime,"5416 Management, scientific and technical consulting services",75512.8,Separate,Group,,,53,120081,Y,Y,E
Other,parttime,6220 Hospitals (6221 to 6223),414913,Married,With Spouse,,,40,120082,N,Y,E
Male,parttime,5239 Other financial investment activities,432994.65,Single,With Parent,,,60,120083,Y,Y,F
Female,fulltime,3261 Plastic product manufacturing,48396.6,Married,With Spouse,,,58,120084,Y,Y,E
Male,fulltime,4841 General freight trucking,50631,Single,With Spouse,,,37,120085,Y,N,E
Female,fulltime,"5111 Newspaper, periodical, book and director publishers",108203,Single,With Parent,,,40,120086,N,Y,F
Male,fulltime,"4172 Construction, forestry, mining, and industrial machinery, equip",424439,Single,With Parent,,,38,120087,Y,Y,E
Female,fulltime,5171 Wired telecommunications carriers,39006.05,Married,With Spouse,,,72,120088,Y,Y,E
Male,parttime,5411 Legal services,418164.52,Single,With Spouse,College,,34,120089,Y,Y,F
Male,fulltime,6220 Hospitals (6221 to 6223),242552.2,Single,,,,52,120090,N,N,E
Female,fulltime,Retired,427118.7,Married,With Spouse,,,42,120091,Y,Y,E
Other,fulltime,4152 New motor vehicle parts and accessories wholesaler-distributors,37048.4,Married,With Spouse,,,55,120092,Y,Y,F
Female,fulltime,5411 Legal services,93360,Married,With Spouse,,,43,120093,Y,Y,E
Male,fulltime,Retired,431509.1,Married,With Spouse,,,43,120094,N,Y,E
Male,parttime,5191 Other information services,434386.15,Married,With Spouse,,,60,120095,Y,N,F
Male,fulltime,5411 Legal services,39234,Divorced,With Parent,,,36,120096,Y,Y,E
Female,fulltime,5191 Other information services,56335.4,Divorced,Group,,,51,120097,Y,Y,E
Male,fulltime,"5413 Architectural, engineering and related services",73146.9,Married,With Spouse,,,53,120098,N,Y,F
Male,parttime,5151 Radio and television broadcasting,427729.9,Married,With Spouse,,,50,120099,Y,Y,E
Male,fulltime,"5412 Accounting, tax preparation, bookkeeping and payroll services",82915.8,Single,,,,47,120100,Y,N,E
Other,parttime,"5242 Agencies, brokerages and other insurance related activities",419430.35,Married,With Spouse,,,72,120101,Y,Y,F
Female,fulltime,"5413 Architectural, engineering and related services",91687.2,Divorced,,,,50,120102,N,Y,E
Female,fulltime,,400000,Single,With Parent,Secondary,1,31,120103,Y,Y,E
Female,fulltime,5415 Computer systems design and related services,420519.4,Married,With Spouse,Apprenticeship,,29,120104,Y,Y,F
Female,fulltime,3353 Electrical equipment manufacturing,420614.77,Single,Group,College,,33,120105,Y,N,E
Female,fulltime,Retired,35506.1,Widowed,,,,46,120106,N,Y,E
Female,parttime,4521 Department stores,417214.35,Married,With Spouse,,,63,120107,Y,Y,F
Female,fulltime,5415 Computer systems design and related services,122124.25,Married,With Spouse,,,56,120108,Y,Y,E
Female,parttime,2382 Building equipment contractors,417579.43,Single,With Parent,College,,26,120109,Y,Y,E
Male,parttime,5241 Insurance carriers,427539.55,Married,With Spouse,,,67,120110,N,N,F
Female,fulltime,,400000,Single,With Parent,Secondary,1,32,120111,Y,Y,E
Female,parttime,5411 Legal services,429987.7,Divorced,Group,,,71,120112,Y,Y,E
Female,parttime,"5413 Architectural, engineering and related services",409599.37,Single,With Parent,Apprenticeship,,31,120113,Y,Y,F
Female,parttime,6214 Out-patients care centres,431536.45,Married,With Spouse,,,55,120114,N,Y,E
Female,fulltime,5221 Depository credit intermediation,74513.25,Divorced,,,,66,120115,Y,N,E
Male,parttime,4529 Other general merchandise stores,414029.62,Single,With Parent,Apprenticeship,,26,120116,Y,Y,F
Male,fulltime,4481 Clothing stores,430413,Married,With Spouse,,,38,120117,Y,Y,E
Male,fulltime,6111 Elementary and secondary schools,87935.1,Single,Group,,,45,120118,N,Y,E
Male,parttime,5239 Other financial investment activities,410248.81,Single,With Parent,College,,33,120119,Y,Y,F
Female,fulltime,2383 Building finishing contractors,52752.48,Single,With Parent,College,,33,120120,Y,N,E
Other,parttime,9120 Provincial and territorial public administration (9121 to 9129),434058.4,Married,With Spouse,,,57,120121,Y,Y,E
Male,fulltime,6230 Nursing and residential care facilities (6231 to 6239),72524.75,Separate,,,,57,120122,N,Y,F
Female,fulltime,5221 Depository credit intermediation,40513,Married,With Spouse,,,39,120123,Y,Y,E
Female,fulltime,,400000,Married,With Spouse,,,37,120124,Y,Y,E
Female,parttime,6113 Universities,415086.94,Single,With Parent,Apprenticeship,,28,120125,Y,N,F
Female,fulltime,"5111 Newspaper, periodical, book and director publishers",83803.5,Divorced,,,,45,120126,N,Y,E
Female,parttime,9120 Provincial and territorial public administration (9121 to 9129),415359.6,Married,With Spouse,,,74,120127,Y,Y,E
Female,parttime,6220 Hospitals (6221 to 6223),404563.9,Single,With Parent,College,,25,120128,Y,Y,F
Male,fulltime,4411 Automobile dealers,38156.8,Married,,,,47,120129,Y,Y,E
Female,fulltime,,400000,Single,With Parent,Secondary,1,32,120130,N,N,E
Male,fulltime,5241 Insurance carriers,71786.75,Widowed,,,,70,120131,Y,Y,F
Male,fulltime,6220 Hospitals (6221 to 6223),113311.8,Single,,,,63,120132,Y,Y,E
Male,fulltime,,400000,Married,,Apprenticeship,,34,120133,Y,Y,E
Female,fulltime,,400000,Single,With Parent,Middle,1,27,120134,N,Y,F
Male,fulltime,5615 Travel arrangement and reservation services,36878,Married,With Spouse,,,35,120135,Y,N,E
Male,fulltime,Retired,121125.9,Married,With Spouse,,,45,120136,Y,Y,E
Female,parttime,"2211 Electric power generation, transmission and distribution",426843.3,Married,With Spouse,,,58,120137,Y,Y,F
Female,parttime,6211 Offices of physicians,420528.55,Married,With Spouse,,,71,120138,N,Y,E
Male,parttime,7211 Traveller accommodations,426237.1,Married,With Spouse,,,71,120139,Y,Y,E
Female,parttime,4481 Clothing stores,413661,Married,With Spouse,,,70,120140,Y,N,F
Female,parttime,2361 Residential building construction,417323.25,Married,With Spouse,,,72,120141,Y,Y,E
Male,fulltime,Retired,412389.3,Married,With Spouse,,,77,120142,N,Y,E
Male,fulltime,Retired,423319.8,Married,With Spouse,,,46,120143,Y,Y,F
Male,parttime,6211 Offices of physicians,421939.5,Single,With Parent,,,47,120144,Y,Y,E
Male,fulltime,4521 Department stores,64791.1,Married,With Spouse,,,50,120145,Y,N,E
Male,fulltime,6244 Child day-care services,132980.25,Divorced,,,,53,120146,N,Y,F
Male,fulltime,6211 Offices of physicians,68965.5,Single,With Spouse,,,62,120147,Y,Y,E
Male,fulltime,,400000,Single,With Parent,Secondary,1,31,120148,Y,Y,E
Female,fulltime,4441 Building material and supplies dealers,124481.5,Married,With Spouse,,,53,120149,Y,Y,F
Male,parttime,2212 Natural gas distribution,425695.6,Married,With Spouse,,,69,120150,N,N,E
Male,fulltime,2111 Oil and gas extraction,49739,Married,With Spouse,,,40,120151,Y,Y,E
Male,fulltime,5411 Legal services,84995.9,Divorced,With Parent,,,53,120152,Y,Y,F
Female,fulltime,5171 Wired telecommunications carriers,428288.92,Single,,Apprenticeship,,29,120153,Y,Y,E
Female,parttime,"5412 Accounting, tax preparation, bookkeeping and payroll services",414512.2,Married,With Spouse,,,74,120154,N,Y,E
Female,fulltime,,400000,Single,With Spouse,Apprenticeship,,29,120155,Y,N,F
Male,parttime,"9130 Local, municipal and regional public administration (9131 and 9",408185.98,Single,With Parent,Secondary,1,29,120156,Y,Y,E
Male,fulltime,"4172 Construction, forestry, mining, and industrial machinery, equip",124488,Divorced,,,,38,120157,Y,Y,E
Female,parttime,5241 Insurance carriers,415815,Divorced,With Parent,,,39,120158,N,Y,F
Female,fulltime,6220 Hospitals (6221 to 6223),38736.25,Divorced,With Spouse,,,70,120159,Y,Y,E
Other,parttime,6213 Offices of other health practitioners,427757.1,Married,With Spouse,,,63,120160,Y,N,E
Male,fulltime,,400000,Single,With Parent,Secondary,1,30,120161,Y,Y,F
Female,fulltime,5221 Depository credit intermediation,51962.9,Married,With Spouse,,,45,120162,N,Y,E
Male,parttime,5414 Specialized design services,409583.53,Single,With Parent,Apprenticeship,,34,120163,Y,Y,E
Female,fulltime,5231 Securities and commodity contracts intermediation and brokerage,43091.4,Married,With Spouse,,,48,120164,Y,Y,F
Female,fulltime,,400000,Single,With Parent,Secondary,1,32,120165,Y,N,E
Male,parttime,4911 Postal service,416674.24,Married,With Spouse,Apprenticeship,,33,120166,N,Y,E
Male,parttime,2122 Metal ore mining,412589.5,Single,With Parent,College,,33,120167,Y,Y,F
Female,fulltime,"5242 Agencies, brokerages and other insurance related activities",424179,Married,With Spouse,,,40,120168,Y,Y,E
Female,fulltime,6211 Offices of physicians,89680.45,Widowed,,,,55,120169,Y,Y,E
Male,fulltime,,400000,Single,With Parent,Secondary,1,28,120170,N,N,F
Male,parttime,6241 Individual and family services,434328.8,Married,With Spouse,,,48,120171,Y,Y,E
Other,fulltime,Retired,415617,Married,With Spouse,,,76,120172,Y,Y,E
Other,parttime,5121 Motion picture and video industries,415197.15,Married,With Spouse,,,73,120173,Y,Y,F
Male,fulltime,6220 Hospitals (6221 to 6223),105674.8,Divorced,,,,45,120174,N,Y,E
Female,fulltime,Retired,421503.3,Widowed,Group,,,55,120175,Y,N,E
Male,parttime,3261 Plastic product manufacturing,425334.6,Married,With Spouse,,,74,120176,Y,Y,F
Male,fulltime,9120 Provincial and territorial public administration (9121 to 9129),36326.2,Married,With Spouse,,,57,120177,Y,Y,E
Male,fulltime,,400000,Single,With Parent,,,56,120178,N,Y,E
Female,parttime,6113 Universities,410009.56,Single,With Parent,College,,34,120179,Y,Y,F
Female,fulltime,5221 Depository credit intermediation,68656.5,Single,,,,50,120180,Y,N,E
Female,parttime,5221 Depository credit intermediation,414808.55,Married,With Spouse,,,60,120181,Y,Y,E
Female,parttime,5311 Lessors of real estate,407630.92,Single,With Parent,College,,26,120182,N,Y,F
Other,fulltime,Retired,56150.5,Widowed,,,,54,120183,Y,Y,E
Female,fulltime,"5182 Data processing, hosting, and related services",42554.6,Married,With Spouse,,,52,120184,Y,Y,E
Male,fulltime,5615 Travel arrangement and reservation services,425010,Single,With Parent,,,40,120185,Y,N,F
Female,parttime,"5242 Agencies, brokerages and other insurance related activities",405862.12,Single,With Parent,Apprenticeship,,31,120186,N,Y,E
Female,parttime,5615 Travel arrangement and reservation services,428509.65,Married,With Spouse,,,59,120187,Y,Y,E
Male,parttime,6111 Elementary and secondary schools,409088.86,Single,With Parent,Apprenticeship,,27,120188,Y,Y,F
Female,fulltime,6220 Hospitals (6221 to 6223),421187,Divorced,With Parent,,,37,120189,Y,Y,E
Male,fulltime,5617 Services to buildings and dwellings,68704.45,Single,,,,57,120190,N,N,E
Male,parttime,5221 Depository credit intermediation,422231.8,Married,With Spouse,,,56,120191,Y,Y,F
Female,fulltime,,400000,Single,With Parent,Secondary,1,28,120192,Y,Y,E
Female,fulltime,"8139 Business, professional, labour and other membership organizatio",159838.8,Married,With Spouse,,,50,120193,Y,Y,E
Male,parttime,2371 Utility system construction,406428.73,Single,With Parent,Apprenticeship,,31,120194,N,Y,F
Female,parttime,3363 Motor vehicle parts manufacturing,404715.04,Single,With Parent,College,,33,120195,Y,N,E
Male,fulltime,Retired,414219.8,Married,With Spouse,,,46,120196,Y,Y,E
Female,parttime,5414 Specialized design services,409839.28,Single,With Parent,Apprenticeship,,33,120197,Y,Y,F
Female,parttime,5311 Lessors of real estate,408806.05,Single,With Spouse,Apprenticeship,,31,120198,N,Y,E
Male,fulltime,5311 Lessors of real estate,46543.95,Married,With Spouse,,,55,120199,Y,Y,E
